Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,WA,51102,Gascoyne,Remote (incl. very remote),Specialist attendances (total),11.49,22.74,"$1,922 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health subtotal - Mental Health Care,1.25,4.68,$461 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Clinical Psychologist,0.35,1.4,181
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Other Allied Mental Health,0.18,0.46,$35 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Other Psychologist,0.76,2.81,$245 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health subtotal - Optometry,22.88,27.55,"$1,273 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health subtotal - Other,2.45,5.6,$300 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Audiology,NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diabetes Education,NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Dietetics,0.23,0.3,$16 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Occupational Therapy,0.02,0.09,$5 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Other Allied Health,0.42,0.6,$32 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Podiatry,1.77,4.39,$232 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Speech Pathology,0.06,0.17,$12 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health subtotal - Physical Health Care,1.61,4.87,$257 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Chiropractic Services,0.12,0.31,$17 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Exercise Physiology,NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Osteopathy,NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Physiotherapy,1.45,4.39,$233 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health attendances (total),15.1,21.57,"$1,208 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health attendances (total),19.85,31.37,"$1,794 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health attendances (total),40.23,63.03,"$3,247 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health attendances (total),55.23,127.94,"$6,578 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health attendances (total),25.76,42.71,"$2,292 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health attendances (total),30.12,51.42,"$2,801 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Allied Health attendances (total),21.81,34.82,"$1,831 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diagnostic Imaging (total),15.31,25.45,"$2,219 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diagnostic Imaging (total),26.37,53.29,"$5,961 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diagnostic Imaging (total),36.77,84.36,"$12,467 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diagnostic Imaging (total),52.82,148.07,"$23,962 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diagnostic Imaging (total),26.96,58.01,"$7,550 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diagnostic Imaging (total),32.71,75.22,"$8,883 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diagnostic Imaging (total),21.75,42.43,"$6,344 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP After-hours (non-urgent),28.33,55.42,"$3,041 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP After-hours (urgent),0.67,0.84,$108 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP subtotal - After-hours,28.72,56.26,"$3,149 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Chronic Disease Management Plan,8.97,18.77,"$2,191 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Health Assessment,7.19,7.35,"$1,583 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Mental Health,4.36,6.35,$526 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Multidisciplinary Case Conference,0.07,0.11,$10 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP subtotal - Enhanced Primary Care,17.52,32.62,"$4,314 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Medication Management Review (domiciliary),NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Medication Management Review (residential),NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Acupuncture,NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Long (Level C),32.74,66.57,"$4,786 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Focussed Psychological Strategies and Family Group Therapy,NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Pregnancy Support Counselling,0.2,0.26,$20 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Prolonged - Imminent danger of death,0.07,0.08,$32 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Prolonged (Level D),6.1,8.44,$894 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Short (Level A),9.35,14.49,$253 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Standard (Level B),74.47,301.36,"$11,227 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP subtotal - Other,78.35,394.71,"$17,320 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP Telehealth (patient-end),0.15,0.17,$17 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Other Non-referred Medical Practitioner,1.88,3.26,$88 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Asthma Cycle of Care PIP,0.36,0.36,$22 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Cervical Smear PIP,0.32,0.32,$16 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Diabetes Mellitus Annual Cycle of Care PIP,0.78,0.79,$46 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP subtotal - PIP,1.45,1.46,$84 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP attendances (total),80.58,342.95,"$16,339 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP attendances (total),75.72,426.7,"$21,409 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP attendances (total),85.13,602.57,"$32,373 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP attendances (total),95.74,"1,041.58","$56,528 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP attendances (total),81.19,485.05,"$24,867 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP attendances (total),85.3,556,"$28,565 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),GP attendances (total),77.47,420.83,"$21,519 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Midwifery,0.2,0.48,$22 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nurse Practitioners,1.33,2.3,$63 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Practice Nurse/Aboriginal Health Worker,4.58,12.41,$250 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),6.51,14.12,$364 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),4.35,11.53,$256 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),5.9,18.07,$355 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),9.01,27.25,$507 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),5.83,15.19,$336 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),6.45,17.71,$408 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),5.26,12.9,$271 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Early Intervention Services for Children,NP,NP,NP
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Psychiatry,0.36,0.84,$128 
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Specialist attendances (total),8.05,12.43,"$1,059 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Specialist attendances (total),10.47,18.31,"$1,520 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Specialist attendances (total),19.42,41.97,"$3,235 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Specialist attendances (total),39.72,100.8,"$7,626 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Specialist attendances (total),13.94,28.04,"$2,222 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Specialist attendances (total),14.33,28.61,"$2,293 "
2017-18,WA,51103,Goldfields,Remote (incl. very remote),Specialist attendances (total),13.58,27.52,"$2,158 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health subtotal - Mental Health Care,2.19,8.59,$853 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Clinical Psychologist,0.72,2.75,356
2017-18,WA,51104,Mid West,Remote (incl. very remote),Other Allied Mental Health,0.11,0.38,$29 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Other Psychologist,1.44,5.46,$468 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health subtotal - Optometry,26.44,30.46,"$1,455 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health subtotal - Other,5.62,14.36,$760 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Audiology,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diabetes Education,0.11,0.22,$12 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Dietetics,0.85,1.24,$66 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Occupational Therapy,0.04,0.1,$6 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Other Allied Health,1.13,2.39,$127 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Podiatry,3.76,10.23,$543 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Speech Pathology,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health subtotal - Physical Health Care,3.15,10.08,$528 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Chiropractic Services,0.56,1.94,$102 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Exercise Physiology,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),Osteopathy,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),Physiotherapy,2.37,7.25,$386 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health attendances (total),18.42,30.17,"$1,936 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health attendances (total),22.05,39.95,"$2,511 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health attendances (total),38.57,68.65,"$3,746 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health attendances (total),61.98,157.07,"$8,311 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health attendances (total),31.86,63.49,"$3,596 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health attendances (total),37.13,76.52,"$4,347 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Allied Health attendances (total),26.64,50.6,"$2,853 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diagnostic Imaging (total),20.14,34.16,"$3,231 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diagnostic Imaging (total),35.59,80.53,"$8,713 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diagnostic Imaging (total),45.11,119.16,"$16,390 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diagnostic Imaging (total),64.59,211.11,"$32,492 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diagnostic Imaging (total),37.97,97.39,"$12,901 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diagnostic Imaging (total),43.5,117.32,"$14,231 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diagnostic Imaging (total),32.49,77.68,"$11,586 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP After-hours (non-urgent),4.41,6.61,$414 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP After-hours (urgent),0.9,1.08,$140 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP subtotal - After-hours,5,7.69,$555 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Chronic Disease Management Plan,18.52,48.6,"$5,079 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Health Assessment,8.52,8.7,"$1,874 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Mental Health,5.79,9.62,$818 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Multidisciplinary Case Conference,0.33,0.51,$64 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP subtotal - Enhanced Primary Care,27.2,68.05,"$7,928 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Medication Management Review (domiciliary),0.54,0.54,$83 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Medication Management Review (residential),0.09,0.09,$10 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Acupuncture,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Long (Level C),41.24,91.25,"$6,588 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Focussed Psychological Strategies and Family Group Therapy,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Pregnancy Support Counselling,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Prolonged - Imminent danger of death,0.12,0.12,$38 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Prolonged (Level D),8.24,13.24,"$1,413 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Short (Level A),18.69,31.54,$545 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Standard (Level B),78.4,290.48,"$10,882 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP subtotal - Other,84.81,430.41,"$19,637 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP Telehealth (patient-end),0.82,1.11,$97 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Other Non-referred Medical Practitioner,1.63,2.62,$70 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Asthma Cycle of Care PIP,0.95,0.95,$67 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Cervical Smear PIP,0.28,0.28,$15 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Diabetes Mellitus Annual Cycle of Care PIP,2.14,2.15,$146 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP subtotal - PIP,3.28,3.37,$228 
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP attendances (total),81.71,302.06,"$15,549 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP attendances (total),81.53,384.98,"$20,380 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP attendances (total),87.4,521.33,"$28,772 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP attendances (total),100,"1,093.87","$65,367 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP attendances (total),86.32,509.54,"$28,348 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP attendances (total),90.55,574.19,"$31,841 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),GP attendances (total),82.15,445.56,"$24,892 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Midwifery,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nurse Practitioners,NP,NP,NP
2017-18,WA,51104,Mid West,Remote (incl. very remote),Practice Nurse/Aboriginal Health Worker,9.23,16.17,$230 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),10.64,21.32,$550 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),10.43,19.27,$641 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),16.4,30.39,$736 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),33.73,73.15,"$1,407 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),15.87,31.59,$761 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),17.82,36.63,$949 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),13.93,26.6,$574 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Early Intervention Services for Children,0.06,0.06,$16 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Psychiatry,0.85,1.75,$383 
2017-18,WA,51104,Mid West,Remote (incl. very remote),Specialist attendances (total),14.32,26.12,"$2,431 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Specialist attendances (total),19.99,39.56,"$3,156 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Specialist attendances (total),32.83,80.38,"$5,732 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Specialist attendances (total),59.59,188.82,"$12,975 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Specialist attendances (total),28.07,70.43,"$5,207 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Specialist attendances (total),29.69,75.52,"$5,530 "
2017-18,WA,51104,Mid West,Remote (incl. very remote),Specialist attendances (total),26.47,65.4,"$4,888 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health subtotal - Mental Health Care,1.4,5.27,$515 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Clinical Psychologist,0.46,1.79,224
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Other Allied Mental Health,0.15,0.49,$34 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Other Psychologist,0.84,2.99,$258 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health subtotal - Optometry,20.8,26.22,"$1,237 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health subtotal - Other,3.15,7.22,$383 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Audiology,0.03,0.06,$3 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diabetes Education,0.42,0.79,$42 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Dietetics,0.71,1.05,$55 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Occupational Therapy,0.04,0.09,$6 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Other Allied Health,0.44,0.76,$40 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Podiatry,1.81,4.28,$227 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Speech Pathology,0.07,0.18,$11 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health subtotal - Physical Health Care,1.65,4.83,$254 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Chiropractic Services,0.22,0.76,$40 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Exercise Physiology,0.27,0.51,$25 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Osteopathy,0.01,0.03,$2 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Physiotherapy,1.23,3.53,$187 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health attendances (total),13.04,20.64,"$1,197 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health attendances (total),16.44,27.91,"$1,690 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health attendances (total),34.4,58.04,"$3,081 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health attendances (total),55.3,124.96,"$6,467 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health attendances (total),24.02,43.53,"$2,390 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health attendances (total),28.61,53.14,"$2,938 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Allied Health attendances (total),19.79,34.67,"$1,884 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diagnostic Imaging (total),17.75,31.34,"$2,763 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diagnostic Imaging (total),27.25,58.75,"$6,431 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diagnostic Imaging (total),36.75,91.29,"$12,604 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diagnostic Imaging (total),54.67,164.69,"$25,273 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diagnostic Imaging (total),29.38,69.09,"$8,779 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diagnostic Imaging (total),34.67,85.61,"$10,215 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diagnostic Imaging (total),24.5,53.86,"$7,454 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP After-hours (non-urgent),10.48,17.13,"$1,023 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP After-hours (urgent),1.86,2.36,$308 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP subtotal - After-hours,11.67,19.48,"$1,331 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Chronic Disease Management Plan,12.18,32.06,"$3,339 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Health Assessment,11.75,12.12,"$2,546 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Mental Health,3.88,5.87,$494 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Multidisciplinary Case Conference,0.4,0.73,$59 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP subtotal - Enhanced Primary Care,22.66,51.09,"$6,481 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Medication Management Review (domiciliary),0.22,0.22,$34 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Medication Management Review (residential),0.08,0.08,$9 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Acupuncture,0.04,0.13,$7 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Long (Level C),34.66,74.59,"$5,377 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Focussed Psychological Strategies and Family Group Therapy,0.03,0.05,$7 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Pregnancy Support Counselling,0.04,0.05,$4 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Prolonged - Imminent danger of death,0.28,0.32,$132 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Prolonged (Level D),8.03,11.9,"$1,266 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Short (Level A),10.62,15.58,$277 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Standard (Level B),68.63,269.26,"$10,079 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP subtotal - Other,74.43,376.28,"$17,307 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP Telehealth (patient-end),0.5,0.74,$62 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Other Non-referred Medical Practitioner,2.25,3.65,$97 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Asthma Cycle of Care PIP,0.32,0.32,$20 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Cervical Smear PIP,0.24,0.24,$15 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Diabetes Mellitus Annual Cycle of Care PIP,1.24,1.25,$72 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP subtotal - PIP,1.77,1.8,$107 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP attendances (total),76.9,300.52,"$16,645 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP attendances (total),69.68,355.03,"$19,626 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP attendances (total),79.02,518.71,"$29,416 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP attendances (total),94.26,"1,010.87","$57,970 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP attendances (total),77.15,448.66,"$25,226 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP attendances (total),83.02,522.24,"$29,403 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),GP attendances (total),71.73,380.8,"$21,374 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Midwifery,0.14,0.5,$36 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nurse Practitioners,2.64,5.8,$178 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Practice Nurse/Aboriginal Health Worker,12.13,32.96,$620 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),13.33,30.24,$716 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),10.48,29.78,$709 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),15.01,46.99,$928 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),26.13,75.81,"$1,329 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),14.28,39.26,$834 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),16.47,47.66,"$1,047 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Nursing and Aboriginal Health Workers (total),12.27,31.51,$637 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Early Intervention Services for Children,0.03,0.03,$6 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Psychiatry,0.57,1.56,$285 
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Specialist attendances (total),9.94,17.44,"$1,683 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Specialist attendances (total),12.57,23.65,"$2,004 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Specialist attendances (total),24.74,55.8,"$4,434 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Specialist attendances (total),49.16,140.37,"$10,697 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Specialist attendances (total),18.7,42.26,"$3,447 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Specialist attendances (total),20.41,46.26,"$3,747 "
2017-18,,6,Remote (incl. very remote),Remote (incl. very remote),Specialist attendances (total),17.12,38.57,"$3,171 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health subtotal - Mental Health Care,4.58,18.41,"$2,053 "
2017-18,Tas,60101,Brighton,Inner regional,Clinical Psychologist,2.8,11.84,1481
2017-18,Tas,60101,Brighton,Inner regional,Other Allied Mental Health,0.12,0.37,$34 
2017-18,Tas,60101,Brighton,Inner regional,Other Psychologist,1.92,6.2,$538 
2017-18,Tas,60101,Brighton,Inner regional,Allied Health subtotal - Optometry,29.14,37.15,"$1,736 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health subtotal - Other,5.03,14.03,$753 
2017-18,Tas,60101,Brighton,Inner regional,Audiology,NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,Diabetes Education,0.33,0.61,$32 
2017-18,Tas,60101,Brighton,Inner regional,Dietetics,0.78,1.36,$72 
2017-18,Tas,60101,Brighton,Inner regional,Occupational Therapy,0.06,0.16,$15 
